t,r,u,x1,x2
0.25,60,100,38.7310174239915,40.8769989366746
0.299999999999997,60,100,38.738164676481,41.2508402712796
0.350000000000009,60,100,38.7463299889573,41.6236353107623
0.400000000000006,60,100,38.7555029145525,41.9953916941297
0.450000000000003,60,100,38.7656731577075,42.3661169368466
0.5,60,100,38.7768305706968,42.7358184340924
0.549999999999997,60,100,38.7889651502734,43.1045034638992
0.600000000000009,60,100,38.8020670344283,43.4721791901761
0.650000000000006,60,100,38.8161264992576,43.838852665626
0.700000000000003,60,100,38.8311339559353,44.2045308345588
0.75,60,100,38.8470799477838,44.5692205356066
0.799999999999997,60,100,38.8639551474414,44.9329285043441
0.850000000000009,60,100,38.8817503541193,45.2956613758196
0.900000000000006,60,100,38.9004564909464,45.6574256869996
0.950000000000003,60,100,38.9200646023973,46.0182278791312
1,60,100,38.9405658518006,46.3780743000257
1.05,60,100,38.961951518923,46.7369712062669
1.10000000000001,60,100,38.9842129976277,47.0949247653467
1.15000000000001,60,100,39.0073417936024,47.4519410577321
1.2,60,100,39.0313295221557,47.8080260788648
1.25,60,100,39.0561679060776,48.1631857410984
1.3,60,100,39.081848773563,48.5174258755736
1.35000000000001,60,100,39.1083640561942,48.8707522340345
1.40000000000001,60,100,39.1357057869819,49.2231704905898
1.45,60,100,39.1638660984606,49.5746862434187
1.5,60,100,39.1928372208379,49.9253050164256
1.55,60,100,39.2226114801947,50.2750322608441
1.60000000000001,60,100,39.2531812967341,50.6238733567938
1.65000000000001,60,100,39.2845391830789,50.9718336147905
1.7,60,100,39.3166777426136,51.3189182772117
1.75,60,100,39.3495896678712,51.66513251972
1.8,60,100,39.3832677389621,52.0104814526442
1.85000000000001,60,100,39.4177048220436,52.3549701223222
1.90000000000001,60,100,39.4528938678296,52.6986035124044
1.95,60,100,39.4888279101375,53.0413865451207
2,60,100,39.5255000644723,53.3833240825123
2.05,60,100,39.5629035266465,53.7244209276289
2.10000000000001,60,100,39.6010315714329,54.064681825693
2.15000000000001,60,100,39.6398775512523,54.4041114652321
2.2,60,100,39.6794348948915,54.7427144791809
2.25,60,100,39.7196971062531,55.0804954459524
2.3,60,100,39.7606577631352,55.4174588904822
2.35000000000001,60,100,39.8023105160394,55.7536092852432
2.40000000000001,60,100,39.8446490870069,56.0889510512353
2.45,60,100,39.8876672684824,56.4234885589475
2.5,60,100,39.9313589222028,56.7572261292969
2.55,60,100,39.9757179781128,57.0901680345417
2.60000000000001,60,100,40.0207384333035,57.4223184991722
2.65000000000001,60,100,40.0664143509757,57.7536817007783
2.7,60,100,40.1127398594263,58.0842617708961
2.75,60,100,40.1597091510566,58.414062795832
2.8,60,100,40.2073164814023,58.7430888174674
2.85000000000001,60,100,40.2555561681848,59.0713438340433
2.90000000000001,60,100,40.3044225903823,59.3988318009252
2.95,60,100,40.3539101873217,59.72555663135
3,60,100,40.4040134577882,60.0515221971547
3.05,60,100,40.4547269591551,60.3767323294871
3.10000000000001,60,100,40.5060453065302,60.7011908195005
3.15000000000001,60,100,40.5579631719212,61.0249014190307
3.2,60,100,40.6104752834165,61.3478678412588
3.25,60,100,40.6635764243846,61.6700937613564
3.3,60,100,40.7172614326875,61.9915828171179
3.35000000000001,60,100,40.7715251999116,62.3123386095767
3.40000000000001,60,100,40.8263626706122,62.632364703608
3.45,60,100,40.8817688415744,62.9516646285177
3.5,60,100,40.937738761087,63.2702418786181
